Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q9BUS0,,,,metal ion binding,,,,,,,,,
Q9BV44,25917,CCDS2573.1,117420,"RNA binding;
tRNA (guanine) methyltransferase activity","Methyltransferase;
RNA-binding;
Transferase",tRNA methylation,,"Cytosol;
Nucleus",,,,"Complete proteome;
Reference proteome",
Q9BV73,11190,CCDS13255.1,116360,"protein C-terminus binding;
protein domain specific binding;
protein kinase binding",,"centriole-centriole cohesion;
ciliary basal body-plasma membrane docking;
G2/M transition of mitotic cell cycle;
mitotic cell cycle;
non-motile cilium assembly;
positive regulation of protein localization to centrosome;
protein localization;
protein localization to organelle;
regulation of centriole-centriole cohesion;
regulation of G2/M transition of mitotic cell cycle",Cell cycle,"Cytoskeleton;
Cytosol;
Extracellular region or secreted;
Other locations","Cell projection;
Cilium;
Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9BVH7,81849,CCDS673.1,123600,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity;
sialyltransferase activity","Glycosyltransferase;
Transferase","glycosphingolipid biosynthetic process;
oligosaccharide biosynthetic process;
oligosaccharide metabolic process;
protein N-linked glycosylation via asparagine",,"Golgi apparatus;
Other locations",,,,"Complete proteome;
Reference proteome",
Q9BVK6,54732,CCDS4428.1,120115,syntaxin binding,,"COPI coating of Golgi vesicle;
ER to Golgi vesicle-mediated transport;
Golgi organization;
positive regulation of organelle organization;
protein transport;
retrograde vesicle-mediated transport, Golgi to ER","Protein transport;
Transport","Endoplasmic reticulum;
Extracellular region or secreted;
Golgi apparatus;
Other locations",,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9BW04,79098,CCDS1475.1,122545,,Receptor,,,"Cytosol;
Extracellular region or secreted;
Plasma Membrane;
Other locations",Cytoplasm,,,"Complete proteome;
Reference proteome",
Q9BW11,83463,CCDS4416.1,123658,"protein dimerization activity;
RNA polymerase II regulatory region sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","DNA-binding;
Repressor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q9BW19,3833,CCDS34430.1,110031,"ATPase activity;
ATP binding;
microtubule binding;
microtubule motor activity",Motor protein,"cell division;
microtubule-based movement;
mitotic metaphase plate congression;
mitotic sister chromatid segregation;
mitotic spindle assembly;
spermatogenesis","Cell cycle;
Cell division;
Mitosis","Cytoskeleton;
Endosome;
Nucleus;
Other locations","Cytoplasm;
Cytoskeleton;
Endosome;
Microtubule;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9BWT7,29775,CCDS13948.1,118908,receptor signaling complex scaffold activity,,"activation of NF-kappaB-inducing kinase activity;
negative regulation of cell migration involved in sprouting angiogenesis;
positive regulation of protein localization to nucleus;
protein-containing complex assembly;
regulation of apoptotic process",,Other locations,Cytoplasm,,,"Complete proteome;
Reference proteome",
Q9BWU1,23097,CCDS5085.1,116725,"ATP binding;
cyclin-dependent protein serine/threonine kinase activity;
enzyme binding","Kinase;
Serine/threonine-protein kinase;
Transferase","cellular response to lipopolysaccharide;
positive regulation of apoptotic process;
positive regulation of inflammatory response;
protein phosphorylation;
regulation of mitotic cell cycle",,"Cytosol;
Nucleus",,,,"Complete proteome;
Reference proteome",
Q9BXA9,27164,CCDS12013.1,118043,"DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcription regulatory region DNA binding",DNA-binding,"forelimb morphogenesis;
hindlimb morphogenesis;
negative regulation of smoothened signaling pathway;
neurogenesis;
olfactory bulb interneuron development;
regulation of transcription, DNA-templated;
signal transduction;
transcription by RNA polymerase II","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q9BXI6,83874,CCDS13874.1,123787,"cadherin binding;
GTPase activator activity;
guanyl-nucleotide exchange factor activity;
PDZ domain binding;
Rab GTPase binding","GTPase activation;
Guanine-nucleotide releasing factor","activation of cysteine-type endopeptidase activity;
activation of GTPase activity;
intracellular protein transport;
positive regulation of proteolysis;
regulation of vesicle fusion;
retrograde transport, endosome to Golgi",,"Cytosol;
Extracellular region or secreted;
Plasma Membrane;
Other locations",Cell projection,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9BXM9,83856,CCDS47999.1,123772,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
Q9BY66,8284,CCDS14794.1,113891,"androgen receptor binding;
dioxygenase activity;
DNA binding;
histone demethylase activity;
histone demethylase activity (H3-K4 specific);
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding","Chromatin regulator;
Dioxygenase;
Oxidoreductase","histone H3-K4 demethylation;
regulation of androgen receptor signaling pathway;
T cell antigen processing and presentation;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9BYJ3,,,,,,autophagy,,,,,,,
Q9BYJ9,54915,CCDS13511.1,120257,"N6-methyladenosine-containing RNA binding;
ribosome binding;
RNA binding",RNA-binding,"positive regulation of translation;
positive regulation of translational initiation",,Other locations,Cytoplasm,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9BYM8,10616,CCDS12998.1,115862,"metal ion binding;
ubiquitin binding;
ubiquitin-protein transferase activity",Transferase,"I-kappaB kinase/NF-kappaB signaling;
negative regulation of necroptotic process;
negative regulation of NF-kappaB transcription factor activity;
positive regulation of extrinsic apoptotic signaling pathway;
positive regulation of I-kappaB kinase/NF-kappaB signaling;
positive regulation of NF-kappaB transcription factor activity;
positive regulation of NIK/NF-kappaB signaling;
proteasome-mediated ubiquitin-dependent protein catabolic process;
protein linear polyubiquitination;
protein polyubiquitination;
regulation of tumor necrosis factor-mediated signaling pathway;
T cell receptor signaling pathway;
viral process","Host-virus interaction;
Ubl conjugation pathway","Cytosol;
Other locations",,615895,Disease mutation,"3D-structure;
Complete proteome;
Reference proteome",
Q9BYX2,55357,CCDS35080.1,120637,"cadherin binding;
GTPase activator activity;
Rab GTPase binding",GTPase activation,"activation of GTPase activity;
intracellular protein transport;
positive regulation of GTPase activity;
regulation of vesicle fusion",,"Cytosol;
Nucleus;
Other locations","Cell junction;
Cytoplasm;
Cytoplasmic vesicle",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9BZE9,79058,CCDS11796.1,122516,,,"glucose homeostasis;
intracellular protein transport;
positive regulation of protein modification process;
regulation of glucose import",,"Cytosol;
Nucleus;
Plasma Membrane;
Other locations","Cytoplasm;
Membrane;
Nucleus",,Proto-oncogene,"3D-structure;
Complete proteome;
Reference proteome",
Q9BZG5,,,,"androgen receptor activity;
DNA binding;
steroid binding",Receptor,,,Nucleus,,,,,
Q9BZG6,,,,"androgen receptor activity;
DNA binding;
steroid binding",Receptor,,,Nucleus,,,,,
Q9BZG7,,,,"androgen receptor activity;
DNA binding;
steroid binding",Receptor,,,Nucleus,,,,,
Q9BZY9,11074,CCDS34374.1,116257,"transferase activity;
zinc ion binding",Transferase,"innate immune response;
interferon-gamma-mediated signaling pathway;
negative regulation of viral entry into host cell;
negative regulation of viral transcription;
positive regulation of DNA binding transcription factor activity;
protein ubiquitination;
regulation of viral release from host cell",Ubl conjugation pathway,"Cytosol;
Mitochondrion","Cytoplasm;
Mitochondrion",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9C099,85444,CCDS43750.1,124531,,,"cell cycle;
cell division","Cell cycle;
Cell division;
Mitosis",Cytoskeleton,"Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9C0D2,85459,CCDS44708.1,124543,,,positive regulation of organelle assembly,,"Cytoskeleton;
Cytosol;
Plasma Membrane;
Other locations","Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9C0D5,85461,CCDS42766.1,124545,,,"dendritic spine maintenance;
myoblast fusion;
visual learning",,"Plasma Membrane;
Other locations","Cell junction;
Cell membrane;
Membrane;
Postsynaptic cell membrane;
Synapse",,,"Complete proteome;
Reference proteome",
Q9C0F0,80816,CCDS45847.1,123314,"DNA binding;
metal ion binding",Repressor,"regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,615485,,"Complete proteome;
Reference proteome",
Q9GZR6,,,,structural molecule activity,,,,Cytoskeleton,Intermediate filament,,,,
Q9H032,,,,phosphatase regulator activity,,regulation of GTPase activity,,,,,,,
Q9H0A0,55226,CCDS44568.1,120521,"ATP binding;
DNA polymerase binding;
N-acetyltransferase activity;
RNA binding;
rRNA cytidine N-acetyltransferase activity;
tRNA binding;
tRNA N-acetyltransferase activity","Acyltransferase;
Transferase","negative regulation of telomere maintenance via telomerase;
rRNA acetylation involved in maturation of SSU-rRNA;
rRNA modification;
tRNA acetylation;
tRNA wobble cytosine modification","rRNA processing;
tRNA processing","Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q9H0J9,64761,CCDS5857.1,122274,"metal ion binding;
NAD+ ADP-ribosyltransferase activity;
RNA binding",Transferase,,,Nucleus,Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9H0M0,11059,CCDS6242.1,116243,"ubiquitin protein ligase activity;
ubiquitin-protein transferase activity",Transferase,"central nervous system development;
ion transmembrane transport;
negative regulation of transcription, DNA-templated;
proteasome-mediated ubiquitin-dependent protein catabolic process;
protein ubiquitination;
signal transduction;
viral entry into host cell","Host-virus interaction;
Ubl conjugation pathway","Cytosol;
Extracellular region or secreted;
Nucleus;
Plasma Membrane;
Other locations","Cell membrane;
Cytoplasm;
Membrane;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9H161,60529,CCDS31468.1,121938,"DNA binding;
HMG box domain binding;
protein heterodimerization activity;
RNA polymerase II regulatory region sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","Activator;
Developmental protein;
DNA-binding","anterior/posterior pattern specification;
digestive tract development;
embryonic digit morphogenesis;
embryonic forelimb morphogenesis;
embryonic hindlimb morphogenesis;
embryonic skeletal system morphogenesis;
hair follicle development;
muscle organ development;
post-embryonic development;
regulation of apoptotic process;
roof of mouth development;
skeletal system development","Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,"609597;
613451;
601224;
615529","Craniosynostosis;
Disease mutation","3D-structure;
Complete proteome;
Reference proteome",
Q9H1B7,64207,CCDS9854.1,122101,metal ion binding,,"development of secondary female sexual characteristics;
negative regulation of transcription by RNA polymerase II;
positive regulation of transcription by RNA polymerase II",,"Extracellular region or secreted;
Nucleus",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",The poly-Gln region is polymorphic; the most frequent allele contained 24 Gln. Stretches of 20-31 Gln are observed in healthy individuals.
Q9H270,55823,CCDS73404.1,120930,"metal ion binding;
nucleotide binding;
protein binding, bridging;
protein domain specific binding;
syntaxin binding",,"autophagy;
endosomal vesicle fusion;
endosome organization;
endosome to lysosome transport;
intracellular protein transport;
lysosome organization;
positive regulation of cellular protein catabolic process;
positive regulation of early endosome to late endosome transport;
positive regulation of protein targeting to mitochondrion;
regulation of organelle assembly;
regulation of protein stability;
regulation of SNARE complex assembly;
vesicle docking involved in exocytosis","Autophagy;
Protein transport;
Transport","Endosome;
Lysosome;
Other locations","Cytoplasmic vesicle;
Endosome;
Lysosome;
Membrane",616683,"Disease mutation;
Leukodystrophy","Complete proteome;
Reference proteome",
Q9H2D6,11078,CCDS33644.1,116261,"actin filament binding;
GTP-Rho binding;
myosin II binding;
ubiquitin protein ligase binding",Actin-binding,"actin filament bundle assembly;
actin modification;
auditory receptor cell stereocilium organization;
barbed-end actin filament capping;
cell cycle;
cell division;
positive regulation of substrate adhesion-dependent cell spreading;
sensory perception of sound","Cell cycle;
Cell division;
Mitosis","Cytoskeleton;
Nucleus;
Other locations","Cytoplasm;
Cytoskeleton;
Nucleus",609823,"Deafness;
Disease mutation;
Non-syndromic deafness","Complete proteome;
Reference proteome",
Q9H2F5,80314,CCDS60511.1,123227,,"Activator;
Chromatin regulator","histone H2A acetylation;
histone H4 acetylation;
negative regulation of G0 to G1 transition;
negative regulation of gene expression, epigenetic;
negative regulation of transcription, DNA-templated;
negative regulation of transcription by RNA polymerase II;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
regulation of growth;
transcription, DNA-templated;
vascular smooth muscle cell differentiation","Growth regulation;
Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9H2M9,25782,CCDS31028.1,117317,"enzyme activator activity;
enzyme regulator activity;
GTPase activator activity;
protein heterodimerization activity;
Rab GTPase binding",GTPase activation,"establishment of protein localization to endoplasmic reticulum membrane;
intracellular protein transport;
positive regulation of autophagosome assembly;
positive regulation of endoplasmic reticulum tubular network organization;
positive regulation of protein lipidation;
regulation of GTPase activity",,"Cytosol;
Endoplasmic reticulum;
Plasma Membrane;
Other locations",Cytoplasm,"614225;
212720","Cataract;
Disease mutation;
Mental retardation","Complete proteome;
Reference proteome",
Q9H2X3,10332,CCDS12187.1,115615,"calcium-dependent protein binding;
carbohydrate binding;
ICAM-3 receptor activity;
mannose binding;
metal ion binding;
peptide antigen binding;
signaling receptor activity;
virion binding;
virus receptor activity","Host cell receptor for virus entry;
Receptor","adaptive immune response;
antigen processing and presentation;
cell-cell recognition;
endocytosis;
innate immune response;
intracellular signal transduction;
intracellular transport of virus;
leukocyte cell-cell adhesion;
modulation by virus of host morphology or physiology;
peptide antigen transport;
viral genome replication;
virion attachment to host cell","Adaptive immunity;
Endocytosis;
Host-virus interaction;
Immunity;
Innate immunity","Extracellular region or secreted;
Plasma Membrane;
Other locations",,,,"3D-structure;
Complete proteome;
Reference proteome",The number of repeats in the tandem repeat domain is shown to vary between 3 and 9 per allele thus contributing to a further variability in addition to alternative splicing. The shown 7 repeat-containing form has been shown to be the most frequent one (53.9%) in a study with 350 Caucasian individuals.
Q9H307,5411,CCDS9671.1,111412,"DNA binding;
RNA binding;
structural molecule activity","Activator;
DNA-binding","cell adhesion;
mRNA splicing, via spliceosome;
regulation of transcription, DNA-templated;
transcription, DNA-templated","mRNA processing;
mRNA splicing;
Transcription;
Transcription regulation","Cytoskeleton;
Nucleus;
Plasma Membrane;
Other locations","Cell junction;
Nucleus;
Spliceosome",,Tumor suppressor,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9H329,54566,CCDS43859.1,120044,"cytoskeletal protein binding;
structural constituent of cytoskeleton",,"actomyosin structure organization;
positive regulation of cell adhesion;
positive regulation of gene expression;
positive regulation of keratinocyte migration;
wound healing",,"Cytoskeleton;
Cytosol;
Plasma Membrane;
Other locations","Cell junction;
Cytoplasm;
Tight junction",,,"Complete proteome;
Reference proteome",
Q9H334,27086,CCDS2914.1,117989,"androgen receptor binding;
identical protein binding;
metal ion binding;
protein self-association;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding","DNA-binding;
Repressor","chemokine (C-C motif) ligand 2 secretion;
endothelial cell activation;
interleukin-21 secretion;
macrophage activation;
monocyte activation;
negative regulation of androgen receptor signaling pathway;
negative regulation of B cell apoptotic process;
negative regulation of transcription, DNA-templated;
osteoclast development;
osteoclast differentiation;
positive regulation of endothelial cell migration;
positive regulation of smooth muscle cell proliferation;
regulation of defense response to bacterium;
regulation of endothelial tube morphogenesis;
regulation of inflammatory response;
regulation of interleukin-12 secretion;
regulation of interleukin-1 beta secretion;
regulation of macrophage colony-stimulating factor production;
regulation of monocyte differentiation;
regulation of tumor necrosis factor production;
response to lipopolysaccharide;
somatic stem cell population maintenance;
T follicular helper cell differentiation;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,613670,"Disease mutation;
Mental retardation","3D-structure;
Complete proteome;
Reference proteome",
Q9H3M9,92552,CCDS48080.1,124954,"thiol-dependent ubiquitin-specific protease activity;
thiol-dependent ubiquitinyl hydrolase activity","Hydrolase;
Protease;
Thiol protease","protein deubiquitination;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation;
Ubl conjugation pathway","Cytosol;
Nucleus",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9H3P7,64746,CCDS1551.1,122262,"fatty-acyl-CoA binding;
protein kinase A regulatory subunit binding",,steroid biosynthetic process,"Lipid biosynthesis;
Lipid metabolism;
Steroid biosynthesis","Golgi apparatus;
Mitochondrion;
Other locations","Golgi apparatus;
Membrane;
Mitochondrion",,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9H4A3,65125,CCDS73419.1,122403,"ATP binding;
chloride channel inhibitor activity;
magnesium ion binding;
phosphatase binding;
potassium channel inhibitor activity;
protein kinase activator activity;
protein kinase activity;
protein kinase binding;
protein serine/threonine kinase activity;
protein serine/threonine kinase inhibitor activity","Kinase;
Protein kinase inhibitor;
Serine/threonine-protein kinase;
Transferase","cellular response to calcium ion;
intracellular signal transduction;
ion transport;
negative regulation of pancreatic juice secretion;
negative regulation of phosphatase activity;
negative regulation of sodium ion transport;
neuron development;
peptidyl-threonine phosphorylation;
positive regulation of canonical Wnt signaling pathway;
positive regulation of systemic arterial blood pressure;
protein autophosphorylation;
protein phosphorylation;
regulation of cellular process;
regulation of sodium ion transport;
signal transduction by trans-phosphorylation",,"Cytosol;
Other locations",Cytoplasm,"201300;
614492","Neurodegeneration;
Neuropathy","3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9H5E0,,,,methylated histone binding,,,,Nucleus,,,,,
Q9H5V1,,,,,,,,Other locations,,,,,
Q9H6I2,64321,CCDS6159.1,122134,"beta-catenin binding;
protein heterodimerization activity;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding;
transcription coactivator activity;
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding;
transcription factor binding;
transcription regulatory region DNA binding","Activator;
DNA-binding","angiogenesis;
canonical Wnt signaling pathway;
cardiac cell fate determination;
cardiogenic plate morphogenesis;
cell migration involved in gastrulation;
cellular response to leukemia inhibitory factor;
common bile duct development;
embryonic foregut morphogenesis;
embryonic heart tube development;
embryonic heart tube morphogenesis;
endocardial cell differentiation;
endocardium formation;
endodermal cell fate determination;
endodermal digestive tract morphogenesis;
endoderm formation;
gall bladder development;
heart formation;
heart looping;
inner cell mass cellular morphogenesis;
mRNA transcription by RNA polymerase II;
negative regulation of canonical Wnt signaling pathway;
negative regulation of cell growth;
negative regulation of mesodermal cell fate specification;
negative regulation of transcription by RNA polymerase II;
negative regulation of Wnt signaling pathway involved in heart development;
outflow tract morphogenesis;
positive regulation of cell differentiation;
positive regulation of protein catabolic process;
positive regulation of skeletal muscle tissue development;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
protein destabilization;
protein stabilization;
regulation of cardiac cell fate specification;
regulation of embryonic development;
regulation of stem cell division;
regulation of stem cell proliferation;
regulation of transcription, DNA-templated;
regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification;
renal system development;
rostrocaudal neural tube patterning;
signal transduction involved in regulation of gene expression;
spermatogenesis;
stem cell fate specification;
vasculogenesis","Transcription;
Transcription regulation;
Wnt signaling pathway","Nucleus;
Other locations",Nucleus,613674,Disease mutation,"3D-structure;
Complete proteome;
Reference proteome",
Q9H6M4,,,,DNA binding transcription factor activity,,,,Nucleus,,,,,
Q9H714,80183,CCDS31970.2,123162,,,,,,,,,"Complete proteome;
Reference proteome",
Q9H7C4,81493,CCDS367.2,123502,structural molecule activity,,intermediate filament-based process,,"Cytoskeleton;
Cytosol;
Plasma Membrane;
Other locations","Cytoplasm;
Intermediate filament",,,"Complete proteome;
Reference proteome",
Q9H7E2,81550,CCDS53872.1,123514,"chromatin binding;
methylated histone binding;
RNA binding;
transcription coactivator activity",Chromatin regulator,chromatin organization,,"Cytosol;
Golgi apparatus;
Nucleus","Cytoplasm;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9H7F3,,,,nucleic acid binding,,,,,,,,,
Q9H869,55249,CCDS1115.1,120540,,,"cell differentiation;
cell proliferation;
regulation of cell cycle;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation","Nucleus;
Other locations","Cytoplasm;
Nucleus",602531,,"Complete proteome;
Reference proteome",
Q9H891,,,,,,,,,,,,,
Q9H8W5,80263,CCDS44200.1,123205,zinc ion binding,,bone development,,"Cytosol;
Extracellular region or secreted;
Nucleus","Cytoplasm;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9H8Y5,55139,CCDS42821.1,120443,"metal ion binding;
nucleic acid binding",,"cellular response to hydrogen peroxide;
mitochondria-associated ubiquitin-dependent protein catabolic process;
nuclear protein quality control by the ubiquitin-proteasome system;
ubiquitin-dependent ERAD pathway",,"Mitochondrion;
Other locations",Cytoplasm,,,"Complete proteome;
Reference proteome",
Q9H9Q4,79840,CCDS2432.1,122931,DNA end binding,DNA-binding,"B cell differentiation;
central nervous system development;
double-strand break repair via nonhomologous end joining;
positive regulation of ligase activity;
response to ionizing radiation;
T cell differentiation","DNA damage;
DNA repair","Nucleus;
Other locations",Nucleus,611291,"Disease mutation;
SCID","3D-structure;
Complete proteome;
Reference proteome",
Q9HBI6,57834,CCDS12337.1,121790,"fatty acid binding;
heme binding;
iron ion binding;
monooxygenase activity;
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","Monooxygenase;
Oxidoreductase","blood coagulation;
fatty acid metabolic process;
inflammatory response;
menaquinone catabolic process;
oxidation-reduction process;
phylloquinone catabolic process;
vitamin K catabolic process",,"Endoplasmic reticulum;
Other locations",,,,"Complete proteome;
Reference proteome",
Q9HBL0,7145,CCDS2407.1,112999,"actin binding;
RNA binding",Actin-binding,"cell-substrate junction assembly;
fibroblast migration",,"Cytoskeleton;
Other locations","Cell junction;
Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9HCE0,57724,CCDS11926.2,121746,,,"autophagosome maturation;
endocytic recycling",Autophagy,Other locations,,242840,Cataract,"Complete proteome;
Reference proteome",
Q9HCJ0,57690,CCDS45798.1,121716,RNA binding,RNA-binding,"gene silencing by miRNA;
miRNA mediated inhibition of translation;
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;
posttranscriptional gene silencing by RNA;
regulation of megakaryocyte differentiation;
Wnt signaling pathway, calcium modulating pathway","RNA-mediated gene silencing;
Translation regulation",Cytosol,,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9HCK8,57680,CCDS45081.1,121709,"ATP binding;
beta-catenin binding;
chromatin binding;
DNA binding;
DNA-dependent ATPase activity;
DNA helicase activity;
histone binding;
methylated histone binding;
p53 binding","Activator;
Chromatin regulator;
DNA-binding;
Helicase;
Hydrolase;
Repressor","ATP-dependent chromatin remodeling;
brain development;
canonical Wnt signaling pathway;
digestive tract development;
negative regulation of canonical Wnt signaling pathway;
negative regulation of transcription, DNA-templated;
negative regulation of transcription by RNA polymerase II;
negative regulation of Wnt signaling pathway;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
positive regulation of transcription by RNA polymerase III;
transcription, DNA-templated","Transcription;
Transcription regulation;
Wnt signaling pathway","Nucleus;
Other locations",Nucleus,615032,"Autism;
Autism spectrum disorder;
Disease mutation","3D-structure;
Complete proteome;
Reference proteome",
Q9HCS4,83439,CCDS1971.1,123642,"beta-catenin binding;
DNA binding;
DNA binding transcription factor activity;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcription regulatory region DNA binding","Activator;
DNA-binding;
Repressor","beta-catenin-TCF complex assembly;
canonical Wnt signaling pathway;
chromatin organization;
regulation of transcription, DNA-templated;
regulation of transcription by RNA polymerase II;
regulation of Wnt signaling pathway;
transcription, DNA-templated","Transcription;
Transcription regulation;
Wnt signaling pathway","Cytosol;
Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q9HCU0,57124,CCDS8134.1,121387,"calcium ion binding;
carbohydrate binding;
extracellular matrix binding",,"anatomical structure regression;
cell migration;
lymph node development;
positive regulation of cell proliferation;
positive regulation of endothelial cell apoptotic process",,"Extracellular region or secreted;
Other locations",,,,"Complete proteome;
Reference proteome",
Q9HDB9,,,,"nucleic acid binding;
structural molecule activity;
zinc ion binding",,viral process,,Plasma Membrane,"Cell membrane;
Membrane",,,"Complete proteome;
ERV;
Reference proteome;
Transposable element",
Q9NNW8,,,,"guanylate cyclase activity;
nucleotide binding",Lyase,intracellular signal transduction,,Other locations,,,,,
Q9NNZ3,3338,CCDS41666.1,109570,unfolded protein binding,Chaperone,"protein folding;
response to unfolded protein",,Other locations,,,,"Complete proteome;
Reference proteome",
Q9NP74,54873,CCDS758.1,120221,,,regulation of cell shape,,Other locations,"Cell projection;
Cytoplasm",,,"Complete proteome;
Reference proteome",
Q9NPE6,6676,CCDS13259.1,112558,"protein membrane anchor;
structural molecule activity",,"cell differentiation;
cytoskeletal anchoring at nuclear membrane;
nuclear envelope organization;
spermatogenesis","Differentiation;
Spermatogenesis","Cytoskeleton;
Nucleus;
Other locations",,,,"Complete proteome;
Reference proteome",
Q9NPX3,,,,,,,,,,,,,
Q9NPZ5,135152,CCDS4974.1,126422,"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity;
metal ion binding",Transferase,"carbohydrate metabolic process;
chondroitin sulfate metabolic process;
chondroitin sulfate proteoglycan biosynthetic process;
glycosaminoglycan metabolic process;
protein glycosylation",,"Golgi apparatus;
Other locations",,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9NQ48,54585,CCDS2731.1,120062,"identical protein binding;
protein-containing complex binding",,"negative regulation of protein localization to ciliary membrane;
negative regulation of protein localization to cilium",,Cytosol,Cytoplasm,615994,"Bardet-Biedl syndrome;
Ciliopathy;
Disease mutation;
Obesity","Complete proteome;
Reference proteome",
Q9NQ55,56342,CCDS12225.1,121141,"RNA binding;
rRNA binding",,ribosomal large subunit assembly,,"Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q9NQV6,56980,CCDS44771.1,121298,"DNA binding;
metal ion binding;
methyltransferase activity;
RNA polymerase II transcription factor activity, sequence-specific DNA binding","DNA-binding;
Methyltransferase;
Transferase","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
